,Unnamed: 0,Item Cd,Food Group,Total GHG Emissions,Freshwater Comsumption (l),Acidification (kg SO2eq),Eutrophication (kg PO43-eq)
0,0,Teff,Cereals & Grains,0.0006272,0.02562,2.74e-06,2.66e-06
1,1,Maize (Corn),Cereals & Grains,0.0014641,0.117208,9.32e-06,2.74e-06
2,2,Wheat (Incl. Flour factory product),Cereals & Grains,0.0015624,0.15972,1.1e-05,3.66e-06
3,3,Barley (Incl. Beso),Cereals & Grains,0.002013,0.61893,1.34e-05,7.81e-06
4,4,Oats,Cereals & Grains,0.003312,0.633888,1.45e-05,1.45e-05
5,5,Sorghum,Cereals & Grains,0.0039039,1.318317,3.3e-05,1.8e-05
6,6,Bread/Biscuit (Purchased),Cereals & Grains,0.008736,3.54432,7.49e-05,4.37e-05
7,7,Injera (Purchased),Cereals & Grains,0.0130368,4.865437,0.000111744,6.52e-05
8,8,Millet,Cereals & Grains,0.0144079,5.289216,0.000121913,6.65e-05
9,9,Pasta/Maccaroni (Wheat),Cereals & Grains,0.0176204,7.148848,0.000151032,8.81e-05
10,10,Rice,Cereals & Grains,0.03672,18.02034,0.00022032,0.0002754
11,11,Cheese (All Kinds),Dairy & Eggs,-0.1032016,-22.616728,-0.000725332,-0.000433252
12,12,Butter/ghee,Dairy & Eggs,-0.014826,-2.7534,-9.53e-05,-4.77e-05
13,13,Raw milk of cattle,Dairy & Eggs,0.0137984,2.56256,8.87e-05,4.44e-05
14,14,Hen eggs in shell (Fresh),Dairy & Eggs,0.047385,5.87574,0.00054756,0.00022113
15,15,Orange,Fruits,0.0016551,0.358605,1.25e-05,6.26e-06
16,16,Avocado,Fruits,0.0021917,0.37572,1.66e-05,1.1e-05
17,17,Papaya,Fruits,0.0081949,0.990756,4.68e-05,2.28e-05
18,18,Mango,Fruits,0.0086457,1.40484,4.94e-05,2.34e-05
19,19,Banana,Fruits,0.0091104,1.48212,5.69e-05,2.47e-05
20,20,Chicken (Fresh/Chilled),Meat,0.0359046,0.0936,0.000376704,0.000117
21,21,Fish,Meat,0.06318,2.407374,0.000487896,0.00017658
22,22,"Goat, (Fresh/Chilled)",Meat,0.137396,6.53277,0.0009594,0.00033648
23,23,Beef/Buffalo meat,Meat,0.413326,8.8326,0.001310715,0.001227495
24,24,Oils (Processed),"Nuts, Oils & Seeds",-0.1505085,-11.82944,-0.000554505,-0.0005281
25,25,"Groundnuts, excluding shelled","Nuts, Oils & Seeds",0.0052944,1.40224,3.97e-05,2.43e-05
26,26,Other nuts... (Moringa/Shiferaw),"Nuts, Oils & Seeds",0.0105105,1.723722,6.57e-05,4.2e-05
27,27,Sesame seed,"Nuts, Oils & Seeds",0.0121979,3.152374,0.000103213,5.63e-05
28,28,Linseed,"Nuts, Oils & Seeds",0.017841,4.119137,0.000105105,6.26e-05
29,29,Sunflower seed,"Nuts, Oils & Seeds",0.027314,7.515252,0.000210708,0.000398004
30,30,"Peas, dry (Field Pea)",Pulses & Legumes,0.002632,0.423798,2.63e-05,2.3e-05
31,31,Chickpeas (Dry),Pulses & Legumes,0.003348,1.05742,3.35e-05,2.93e-05
32,32,Broad beans and horse beans (Dry),Pulses & Legumes,0.004648,1.12518,5.52e-05,4.36e-05
33,33,Other pulses... (Mung bean),Pulses & Legumes,0.005296,1.20484,6.13e-05,4.97e-05
34,34,Lentils (Dry),Pulses & Legumes,0.0056544,1.286376,6.29e-05,5.3e-05
35,35,Processed pulses/Shiro,Pulses & Legumes,0.021416,1.43127,6.71e-05,8.17e-05
36,36,Vetches,Pulses & Legumes,0.0284352,6.469008,0.00021416,0.00018739
37,37,Fenugreek,Pulses & Legumes,0.030636,9.15534,0.000337668,0.00026658
38,38,Sweet potatoes,Roots & Tubers,0.0012054,0.0,1.09e-05,3.63e-06
39,39,Potatoes,Roots & Tubers,0.0029904,0.0,1.21e-05,1.21e-05
40,40,Kocho,Roots & Tubers,0.0032688,0.172774,2.99e-05,2.79e-05
41,41,Bula,Roots & Tubers,0.0250893,0.428624,8.36e-05,2.99e-05
42,42,Sugar/Sugar cane,Sweeteners,-0.0023972,-0.552278,-1.38e-05,-1.29e-05
43,43,Honey (Natural),Sweeteners,-0.00117,0.0,-9.1e-06,-2.6e-06
44,44,Other vegetables... (Kale),Vegetables,0.0010292,0.112354,1.8e-05,1.03e-05
45,45,Garlic,Vegetables,0.0030642,0.1254,3.06e-05,1.04e-05
46,46,Carrots and turnips,Vegetables,0.0031233,0.239453,3.12e-05,1.78e-05
47,47,Onion,Vegetables,0.00342,0.252154,3.42e-05,1.86e-05
48,48,Green chili pepper,Vegetables,0.0046535,0.408756,4.65e-05,2.04e-05
49,49,Beetroot,Vegetables,0.0053316,0.763174,5.33e-05,2.28e-05
50,50,Tomatoes,Vegetables,0.0165648,2.78052,0.000130152,5.92e-05
51,51,Red pepper (Berbere),Vegetables,0.797892,11.037506,0.001595784,0.002127712
