Health Indicator / Risk Factor,National Prevalence (Both Sexes) %,Addis Ababa Prevalence (Both Sexes) %,,,,
Hypertension (Raised Blood pressure or on medication),17.3,28.3,,,,
Diabetes (Raised Blood Glucose or on medication),4.2,5.4,,,,
"History of Cardiovascular Disease (Heart attack, angina, or stroke)",5.4,5.9,,,,
High 10-Year CVD Risk (Risk ≥20% or existing CVD) among the adult population age 40–69,5.5,No data,,,,
Cancer Mortality (Proportional mortality from all deaths),8.0,No data,,,,
Low Fruit/Vegetable Intake (<5 servings/day),98.6,96.6,,,,
High Salt Intake (>5 grams/day),96.1,No data,,,,
Mean salt intake per day (grams),9.4,9.1,,,,
Percentage of target population who always or often consume processed foods high in salt,4.9,7.4 (Urban),,,,
Current Alcohol Use (Consumed in the past 30 days),20.1,26.5,,,,
Heavy Episodic Drinking (≥6 drinks on one occasion),1.7,No data,,,,
Insufficient Physical Activity (Not meeting WHO recommendations),27.9,46.3,,,,
