Year,Gross Regional Domestic Product (GRDP) per capita,Average monthly income per capita,Poverty rate,"Share of semi-permanent, less permanent and simple housing",Share of agricultural land,Literacy rate of population aged 15+,Rate of trained labour(with technical/vocational or higher qualification),Social security coverage,Health insurance coverage,"Government expenditure on human health, population and family planning / GRDP",HHI for employed population by economic sector
2024.0,163.5146823,7550020.0,0.1,7.7,46.0,99.4,53.9,28.4,96.3,1.5,4533.98
2023.0,150.2924154,6869000.0,0.1,7.1,46.0,99.4,50.8,25.2,93.0,1.7,4481.36
2022.0,141.1216615,6423000.0,0.14,7.1,46.3,99.4,50.3,24.4,91.7,1.5,4399.02
2021.0,128.3284919,6002000.0,0.42,10.5,46.4,98.9,50.3,22.4,89.7,2.0,4366.58
2020.0,123.3973201,6205000.0,0.49,10.5,45.9,98.9,48.5,22.4,87.7,2.0,4315.62
2019.0,120.3223415,6403000.0,0.71,11.6,45.9,99.2,48.1,22.2,86.1,2.2,4324.5
2018.0,111.6028808,6054000.0,0.88,11.6,46.0,98.8,42.0,21.2,84.9,2.4,4170.46
2017.0,104.1430084,5272000.0,1.3,8.1,46.3,98.6,44.2,19.8,82.5,2.4,4015.14
2016.0,96.29222216,4875000.0,1.4,8.1,46.8,98.6,44.9,18.9,75.4,2.4,4016.72
2015.0,90.52800796,4404000.0,1.8,7.3,45.3,98.4,43.8,17.9,69.7,2.6,3963.26
2014.0,84.55535128,4113000.0,2.3,7.3,45.3,98.6,39.2,17.2,68.0,3.5,3895.74
